"male","essay_link","essay_length","Class","tech","technology","math","computer","geek","science","fixing","climbing","matrix","electronic","internet","skiing","solving","nerdy","board","brain","shawshank","figuring","firefly","company","build","hobbies","golf","card","occasionally","guide","lists","section","recent","awesome","law","lol","justice","im","studying","animals","political","artist","spiritual","student","tattoos","health","education1","romance","dont","adult","teaching","haha","ipod","native","baseball","major","lover","school","psychology","loves","loyal","nyc","singing","kids","offspring_A","pets_A","atheist","smoke","single","town_A","SV","rel_imp","sign_imp","age_A","age_dummy","body_type_A","diet_A","drinks_A","education_A","phdYN","educ_dummy1","educ_dummy2","height_A","income100000","UnionDummy"
"m","no",7.33432935030054,"stem","yes","yes","no","yes","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","likes_animals","no","altro","yes","san_francisco","no","0","1","24","no","fit","anything","socially","work_phd_mast","no","yes","no","73","no","yes"
"f","no",7.53476265703754,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","kids_missing","no_animals","no","altro","yes","san_francisco","no","1","0","40-44","no","fit","diet_missing","socially","university","no","no","yes","65","no","no"
"f","no",4.91265488573605,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","low","no","missing","missing","29","yes","average","anything","socially","university","no","no","yes","62","no","no"
"f","yes",8.70151275087287,"stem","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","doesnt_have_kids","likes_animals","yes","altro","altro","medium","no","2","1","27","yes","fit","vegetarian","rarely","university","no","no","yes","63","no","yes"
"f","no",6.32793678372919,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","30","yes","fit","diet_missing","socially","university","no","no","yes","67","no","no"
"m","no",6.90975328164481,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","san_francisco","no","missing","missing","29","yes","fit","other","drinks_missing","university","no","no","yes","72","no","no"
"m","yes",8.25842246245888,"other","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","altro","san_francisco","no","missing","1","27","yes","fit","vegan","rarely","university","no","no","yes","71","no","no"
"m","no",3.29583686600433,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","no_animals","no","altro","yes","medium","no","missing","missing","29","yes","athletic","diet_missing","socially","other","no","yes","no","68","no","no"
"m","no",8.49637805170232,"stem","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","1","1","33","yes","average","anything","socially","phd_program","yes","no","no","72","no","yes"
"f","yes",7.89878235697031,"stem","yes","yes","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","yes","san_francisco","no","1","0","34","yes","athletic","anything","socially","dropped_university","no","no","no","67","no","yes"
"m","no",4.75359019110636,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","SV","yes","1","0","30","yes","a_little_extra","anything","socially","university","no","no","yes","75+","no","yes"
"f","no",7.9707403900071,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","has_kids","likes_animals","no","altro","yes","medium","no","missing","1","50+","no","fit","vegetarian","socially","ed_missing","no","yes","no","64","no","no"
"m","yes",7.34277918933185,"stem","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","likes_animals","yes","altro","yes","san_francisco","no","3","0","21","no","average","anything","socially","ed_missing","no","yes","no","72","no","yes"
"m","no",6.63856778916652,"other","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","50+","no","fit","anything","socially","university","no","no","yes","67","no","no"
"m","yes",8.19478163844336,"other","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","wants","likes_animals","yes","altro","yes","san_francisco","no","2","0","29","yes","fit","vegetarian","rarely","other","no","yes","no","73","no","yes"
"f","no",8.02191277898571,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","medium","no","2","0","21","no","average","anything","socially","other","no","yes","no","65","no","no"
"m","no",7.82763954636642,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","altro","medium","no","2","0","18-21","no","average","diet_missing","very_often","ed_missing","no","yes","no","69","no","no"
"m","no",5.62401750618734,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","likes_animals","no","altro","yes","san_francisco","no","missing","1","29","yes","fit","anything","socially","other","no","yes","no","73","no","no"
"f","no",7.24708058458576,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","likes_animals","no","altro","yes","san_francisco","no","missing","1","24","no","fit","anything","often","other","no","yes","no","64","no","no"
"m","no",8.44311598801992,"stem","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","kids_missing","likes_animals","no","altro","yes","SV","yes","missing","missing","38","yes","average","diet_missing","socially","phd_program","yes","no","no","69","no","yes"
"m","no",7.28069719538474,"other","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","likes_animals","no","altro","yes","san_francisco","no","missing","missing","25","yes","athletic","anything","socially","university","no","no","yes","72","no","no"
"m","no",6.70563909486,"other","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","25","yes","average","anything","socially","university","no","no","yes","66","no","no"
"m","no",7.9168074909376,"other","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","medium","no","missing","missing","40-44","no","average","anything","rarely","masters_program","no","no","yes","72","no","yes"
"m","no",7.64491934495886,"other","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","0","0","24","no","thin","anything","socially","university","no","no","yes","73","no","yes"
"f","no",6.33505425149806,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","2","1","25","yes","fit","anything","socially","masters_program","no","no","yes","64","no","no"
"f","no",7.80180040190897,"other","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","kids_missing","pets_missing","yes","altro","yes","low","no","0","0","27","yes","over_size","anything","socially","work_phd_mast","no","yes","no","68","no","no"
"m","no",7.88833450073865,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","missing","36","yes","athletic","vegetarian","socially","masters_program","no","no","yes","72","no","no"
"m","no",7.26262860097424,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","1","0","28","yes","average","vegetarian","socially","masters_program","no","no","yes","68","no","no"
"m","no",8.01631789850341,"other","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","1","31","yes","thin","anything","socially","university","no","no","yes","66","no","no"
"m","yes",8.39525152061099,"stem","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","san_francisco","no","2","missing","28","yes","fit","anything","often","university","no","no","yes","71","no","yes"
"m","no",8.25035895147729,"stem","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","kids_missing","no_animals","no","altro","altro","san_francisco","no","missing","0","29","yes","body_type_missing","diet_missing","often","university","no","no","yes","74","yes","no"
"f","no",6.16331480403464,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","yes","altro","yes","low","no","missing","missing","29","yes","average","diet_missing","rarely","university","no","no","yes","67","no","no"
"m","no",7.1800698743028,"stem","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","has_animals","no","altro","yes","san_francisco","no","1","missing","30","yes","average","anything","socially","university","no","no","yes","70","no","yes"
"m","no",8.1786387885907,"other","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","medium","no","0","0","23","no","fit","diet_missing","socially","other","no","yes","no","69","no","no"
"m","no",7.44190672805162,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","medium","no","missing","missing","36","yes","athletic","anything","often","university","no","no","yes","69","no","no"
"f","no",5.72031177660741,"other","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","likes_animals","no","altro","yes","san_francisco","no","missing","missing","29","yes","average","diet_missing","socially","masters_program","no","no","yes","67","no","yes"
"m","yes",9.00307016981826,"stem","no","no","no","yes","yes","yes","no","no","no","yes","yes","no","no","no","yes","yes","no","no","no","yes","yes","yes","no","no","no","no","no","no","yes","yes","no","no","yes","yes","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","likes_animals","yes","altro","altro","high","no","0","0","37","yes","over_size","anything","not_at_all","dropped_university","no","no","no","72","yes","yes"
"m","no",8.36474106822456,"other","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","kids_missing","has_animals","no","altro","yes","SV","yes","0","1","38","yes","athletic","diet_missing","socially","university","no","no","yes","66","no","yes"
"f","no",7.84971375760487,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","yes","san_francisco","no","3","0","39","yes","over_size","diet_missing","rarely","masters_program","no","no","yes","70","no","no"
"m","no",8.20849175174038,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","san_francisco","no","2","0","27","yes","thin","anything","socially","university","no","no","yes","69","no","no"
"m","no",4.38202663467388,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","has_animals","no","altro","yes","SV","yes","missing","0","18-21","no","average","anything","socially","other","no","yes","no","71","no","yes"
"f","no",7.34342622914737,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","doesnt_have_kids","has_animals","no","altro","yes","san_francisco","no","0","0","50+","no","athletic","anything","socially","masters_program","no","no","yes","63","no","no"
"f","yes",7.31920245876785,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","has_animals","yes","altro","yes","san_francisco","no","missing","missing","33","yes","fit","diet_missing","socially","masters_program","no","no","yes","70","no","no"
"m","no",6.57368016696065,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","SV","yes","1","1","22","no","average","anything","socially","work_other","no","no","yes","73","no","yes"
"m","no",7.14361760270412,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","doesnt_have_kids","likes_animals","no","altro","yes","low","no","missing","1","26","yes","fit","other","socially","other","no","yes","no","71","no","no"
"m","no",5.54126354515843,"other","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","missing","27","yes","average","diet_missing","socially","university","no","no","yes","70","no","yes"
"f","no",8.32989929299572,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","likes_animals","no","altro","yes","medium","no","2","1","32","yes","fit","anything","socially","work_phd_mast","no","yes","no","69","no","no"
"m","no",7.35308192051543,"stem","no","no","yes","no","yes","yes","no","no","no","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","pets_missing","no","altro","yes","high","no","1","1","24","no","body_type_missing","anything","rarely","university","no","no","yes","71","no","no"
"m","no",7.19142933003638,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","medium","no","0","1","24","no","thin","anything","not_at_all","work_other","no","no","yes","69","no","no"
"f","no",7.83873755959928,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","san_francisco","no","3","missing","28","yes","thin","diet_missing","often","university","no","no","yes","68","no","no"
"f","no",7.74932246466036,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","2","0","40-44","no","over_size","diet_missing","socially","university","no","no","yes","65","no","no"
"m","no",8.07153089355666,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","wants","pets_missing","no","altro","yes","san_francisco","no","missing","1","40-44","no","athletic","anything","socially","other","no","yes","no","69","no","no"
"f","no",0,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","medium","no","missing","missing","23","no","over_size","anything","socially","other","no","yes","no","62","no","no"
"m","no",7.76004068088038,"other","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","medium","no","1","0","31","yes","fit","anything","socially","work_phd_mast","no","yes","no","68","no","no"
"m","no",8.1605182474775,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","medium","no","missing","0","40-44","no","fit","anything","socially","work_other","no","no","yes","73","no","no"
"m","no",8.6909784171879,"stem","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","wants","has_animals","no","altro","yes","san_francisco","no","2","1","31","yes","athletic","anything","socially","masters_program","no","no","yes","66","no","yes"
"f","no",6.98749024700099,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","has_animals","no","altro","yes","san_francisco","no","missing","missing","36","yes","fit","diet_missing","drinks_missing","masters_program","no","no","yes","63","no","no"
"f","yes",7.79646924308606,"other","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","altro","medium","no","2","1","34","yes","a_little_extra","diet_missing","socially","masters_program","no","no","yes","65","no","no"
"m","no",6.86901445066571,"stem","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","wants","likes_animals","no","altro","yes","high","no","missing","missing","24","no","athletic","anything","socially","ed_missing","no","yes","no","74","no","yes"
"f","no",5.99396142730657,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","SV","yes","missing","missing","28","yes","over_size","diet_missing","socially","university","no","no","yes","67","no","yes"
"m","yes",9.12161844191538,"other","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","yes","yes","yes","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","yes","yes","no","no","no","doesnt_want","has_animals","no","altro","yes","medium","no","2","1","40-44","no","thin","diet_missing","socially","university","no","no","yes","74","no","yes"
"m","no",7.80791662892641,"other","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","27","yes","athletic","anything","socially","masters_program","no","no","yes","70","no","yes"
"m","no",7.91607809630279,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","50+","no","fit","anything","often","ed_missing","no","yes","no","72","no","no"
"f","no",8.01565761455734,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","low","no","missing","1","40-44","no","over_size","diet_missing","socially","ed_missing","no","yes","no","66","no","no"
"m","no",6.12686918411419,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","altro","san_francisco","no","missing","missing","28","yes","athletic","vegetarian","socially","masters_program","no","no","yes","67","no","no"
"m","no",8.32820949174873,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","has_kids","has_animals","no","altro","yes","medium","no","0","0","38","yes","average","anything","often","ed_missing","no","yes","no","67","no","no"
